,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Şehriye,Nuh'un Ankara Vitaminli Arpa Şehriye 500 gr,Nuh'un Ankara,"040701-sade Makarnalar, Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller, Bakli̇yat Ve Kuru Gıdalar, Katkılı Makarna",a101,Yeni Kızılay Çankaya Ankara,27.5,"55,00 ₺/kg",25.05.2025 10:20,0,ANKARA
Şehriye,Nuh'un Ankara Vitaminli Arpa Şehriye 500 gr,Nuh'un Ankara,"040701-sade Makarnalar, Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller, Bakli̇yat Ve Kuru Gıdalar, Katkılı Makarna",bim,Konurçankaya,27.5,"55,00 ₺/kg",25.05.2025 10:20,0,ANKARA
Şehriye,Makarna Tel Şehriye 500 gr Nuh'un Ankara,Nuh'un Ankara,"Makarnalar, Un Ve Bakliyatlar, Kuru Gıdalar, Gıda, Normal Ma, Sade Makarna, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Normal Makarnalar, Sıvı Yağ Makarna Un",migros,Ankara Kolej M Mıgros,27.75,"55,50 ₺/kg",25.05.2025 10:20,0,ANKARA
Şehriye,Makarna Tel Şehriye 500 gr Nuh'un Ankara,Nuh'un Ankara,"Makarnalar, Un Ve Bakliyatlar, Kuru Gıdalar, Gıda, Normal Ma, Sade Makarna, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Normal Makarnalar, Sıvı Yağ Makarna Un",carrefour,Ankara Çankaya Esat Cad,27.95,"55,90 ₺/kg",25.05.2025 10:20,0,ANKARA
Şehriye,Tarım Kredi Anadolu Tel Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Ankara Necatibey Market,12.75,"25,50 ₺/kg",25.05.2025 10:20,0,ANKARA
Şehriye,Tarım Kredi Anadolu Arpa Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Ankara Necatibey Market,12.75,"25,50 ₺/kg",25.05.2025 10:21,0,ANKARA
Şehriye,Pirinç Şehriyesi 400 gr,Rice Vermicelli,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Ankara Tunalı Hılmı Cad Süper,102.9,"257,25 ₺/kg",25.05.2025 10:21,0,ANKARA
Şehriye,Carrefour Arpa Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Antalya Konyaaltı Caddesı Mını,12.75,"25,50 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Carrefour Tel Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Antalya Konyaaltı Caddesı Mını,12.75,"25,50 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Piyale Arpa Şehriye 500 gr,Piyale,"Makarnalar, Sade Makarna",sok,Muratpaşa Yenikapı,11.25,"22,50 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Filiz Tel Şehriye 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Sade Makarna, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Sıvı Yağ Makarna Un",migros,Mjet Kaleiçi Antalya,20.95,"41,90 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Filiz Tel Şehriye 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Sade Makarna, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Sıvı Yağ Makarna Un",carrefour,Antalya Meydan Kavağı Süper,22.0,"44,00 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Piyale Tel Şehriye 500 gr,Piyale,"Makarnalar, Sade Makarna",sok,Muratpaşa Yenikapı,11.25,"22,50 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Migros Arpa Şehriye 500 gr .,Migros,"Pl Sıvı Yağ Makarna Un, Pl Makarna, Pl Normal Makarna",migros,Mjet Kaleiçi Antalya,12.95,"25,90 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Mutlu Arpa Şehriye 500 gr,Mutlu,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Sıvı Yağ Makarna Un",migros,Mjet Kaleiçi Antalya,22.5,"45,00 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Mutlu Arpa Şehriye 500 gr,Mutlu,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Sıvı Yağ Makarna Un",carrefour,Antalya Narencıye Süper,22.75,"45,50 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Filiz Arpa Şehriye 500 gr,Filiz,"040701-sade Makarnalar, Makarnalar, Kuru Gıdalar, Gıda, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller, Sade Makarna, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Sıvı Yağ Makarna Un",migros,Recep Peker Antalya M Migros,20.95,"41,90 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Filiz Arpa Şehriye 500 gr,Filiz,"040701-sade Makarnalar, Makarnalar, Kuru Gıdalar, Gıda, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller, Sade Makarna, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Sıvı Yağ Makarna Un",carrefour,Antalya Sgk Çarşamba Süper,22.0,"44,00 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Filiz Arpa Şehriye 500 gr,Filiz,"040701-sade Makarnalar, Makarnalar, Kuru Gıdalar, Gıda, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller, Sade Makarna, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Sıvı Yağ Makarna Un",bim,Balbey Muratpaşa  Antalya,27.5,"55,00 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Filiz Yıldız Şehriye 500 gr,Filiz,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Sıvı Yağ Makarna Un",carrefour,Antalya Narencıye Süper,27.95,"55,90 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Migros Tel Şehriye 500 gr,Migros,"Pl Sıvı Yağ Makarna Un, Pl Makarna, Pl Normal Makarna",migros,Mjet Kaleiçi Antalya,12.95,"25,90 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Ankara Arpa Şehriye 500 gr,Nuh'un Ankara,"Makarnalar, Kuru Gıdalar, Un Ve Bakliyatlar, Gıda, Normal Ma, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Normal Makarnalar, Sıvı Yağ Makarna Un",migros,Mjet Kaleiçi Antalya,27.75,"55,50 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Ankara Arpa Şehriye 500 gr,Nuh'un Ankara,"Makarnalar, Kuru Gıdalar, Un Ve Bakliyatlar, Gıda, Normal Ma, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Normal Makarnalar, Sıvı Yağ Makarna Un",carrefour,Antalya Konyaaltı Caddesı Mını,27.95,"55,90 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Arpa Şehriye 500 gr Cardella,Cardella,"040701-sade Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller",bim,Kızılsaray  Antalya,11.25,"22,50 ₺/kg",25.05.2025 10:21,0,ANTALYA
Şehriye,Tel Şehriye 500 gr Cardella,Cardella,"040701-sade Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller",bim,Kızılsaray  Antalya,11.25,"22,50 ₺/kg",25.05.2025 10:21,0,ANTALYA
Şehriye,Barilla Makarna Arpa Şehriye 500 gr,Barilla,"Makarnalar, Kuru Gıdalar, Gıda, Sade Makarna, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Sıvı Yağ Makarna Un",carrefour,Antalya Narencıye Süper,47.5,"95,00 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Tarım Kredi Tel Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Antalya Muratpaşa Yenigün,19.9,"39,80 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Tarım Kredi Arpa Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Antalya Muratpaşa Yenigün,19.9,"39,80 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Nuh'un Ankara Vitaminli Arpa Şehriye 500 gr,Nuh'un Ankara,"040701-sade Makarnalar, Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller, Bakli̇yat Ve Kuru Gıdalar, Katkılı Makarna",bim,Kızılsaray  Antalya,27.5,"55,00 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Nuh'un Ankara Vitaminli Arpa Şehriye 500 gr,Nuh'un Ankara,"040701-sade Makarnalar, Makarnalar, 0407-makarnalar, 04-bakliyat Ve Unlu Mamuller, Bakli̇yat Ve Kuru Gıdalar, Katkılı Makarna",a101,Ismetpaşa Caddesi Muratpaşa Antalya,27.5,"55,00 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Makarna Tel Şehriye 500 gr Nuh'un Ankara,Nuh'un Ankara,"Makarnalar, Un Ve Bakliyatlar, Kuru Gıdalar, Gıda, Normal Ma, Sade Makarna, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Normal Makarnalar, Sıvı Yağ Makarna Un",migros,Mjet Kaleiçi Antalya,27.75,"55,50 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Makarna Tel Şehriye 500 gr Nuh'un Ankara,Nuh'un Ankara,"Makarnalar, Un Ve Bakliyatlar, Kuru Gıdalar, Gıda, Normal Ma, Sade Makarna, Çorba Ve Bakli̇yatlar, Makarna, Normal Makarna, Normal Makarnalar, Sıvı Yağ Makarna Un",carrefour,Antalya Konyaaltı Caddesı Mını,27.95,"55,90 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Arbella Plus Glutensiz Arpa Şehriye 400 gr,Arbella,"Glutensi̇z, Glutensiz Makarna, Sağlıklı Yaşam Ürünleri, Sıvı Yağ Makarna Un",migros,Recep Peker Antalya M Migros,83.95,"209,87 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Tarım Kredi Anadolu Tel Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Antalya Muratpaşa Yenigün,12.75,"25,50 ₺/kg",25.05.2025 10:20,0,ANTALYA
Şehriye,Tarım Kredi Anadolu Arpa Şehriye 500 Gr,Tarım Kredi,"Mantı Ve Makarna, Gıda, Temel Gıda Ürünleri, Şehriye",tarim_kredi,Antalya Muratpaşa Yenigün,12.75,"25,50 ₺/kg",25.05.2025 10:21,0,ANTALYA
Şehriye,Carrefour Arpa Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Aydın Mımar Sınan Süper,12.75,"25,50 ₺/kg",25.05.2025 10:20,0,AYDIN
Şehriye,Carrefour Tel Şehriye 500 gr,Carrefour,"Makarnalar, Kuru Gıdalar, Gıda, Çorba Ve Bakli̇yatlar",carrefour,Aydın Mımar Sınan Süper,12.75,"25,50 ₺/kg",25.05.2025 10:20,0,AYDIN
