,Şok,Carrefour,Migros,Mopaş,Bim,Hakmar,A101,Onur Market,Tarım Kredi
2025-01-06,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-07,1.0,0.9997935673985656,1.0050089452295634,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-09,1.0233001992557953,1.0051362285243786,1.010208877974775,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-10,0.999812578744032,1.0010981714014107,0.9980122977703195,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-11,0.9940675798699768,1.0007385977878545,1.0001038749244344,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-12,1.0000384406177847,0.9994433724463376,0.9999921017671154,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-13,1.0,1.0035460447218087,1.0002520324516633,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-14,1.0,1.0013105189913054,0.9993130901961323,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-15,1.0,1.001477740059424,1.0000620673849916,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-16,1.0,0.9983725317315071,1.000005090371497,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-17,1.0,1.0006721441831141,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-18,1.0,1.0009425200085738,1.0000797738125211,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-19,1.0,1.0003576730607995,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-20,1.0,1.0019295664734835,1.0001083987755277,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-21,1.0,0.9987480088177675,1.0000861615189758,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-22,1.0,1.0028140797069431,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-23,1.0,1.0017723474415023,1.0000313803574903,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-24,0.9987795938848619,0.9992753699989173,0.9985025353718612,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-25,0.995367575347695,0.9948291036047647,1.0013744753444374,1.035679623234506,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-26,1.0,1.0066458399531908,0.9999832519062889,1.0042228907450215,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-27,1.0,0.9990842326674589,1.0030644342625612,0.9999337543027991,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-28,1.0010019175077065,0.9999585164464928,1.001409916838077,1.002565678831262,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-29,1.0079523283965997,0.9984040022585191,1.0095956989648733,0.993228106756656,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-30,1.0012551511009007,1.0010091959086298,1.0027942049919605,1.00428795609701,1.0,0.9999999999999999,1.0,1.0,1.0
2025-01-31,1.0,0.9994338226455834,0.993007743568944,0.9993221270542558,1.0,0.9999999999999999,1.0,1.0,1.0
2025-02-01,0.9921908470069649,1.0030282252455238,0.9994037265852379,1.0210587402345173,1.0,0.9999999999999999,1.0,1.0000598364957285,1.0
2025-02-02,1.0,1.003548590126034,1.00014580778742,1.0007283214583207,1.0,0.9999999999999999,1.0,1.0,1.0
2025-02-03,1.0,1.0005416532179687,1.0016820273710278,0.9999337543027991,1.0,0.9999999999999999,1.0,1.0,1.0
2025-02-04,1.000166721642484,0.9984423320117755,1.0028898172639606,0.9977705825165536,1.0,0.9999999999999999,1.0,1.0,1.0
2025-02-05,1.002617810273312,1.0,1.0052668841407857,1.0027339572213758,1.0,0.9999999999999999,1.0,1.0000294938786753,1.0
2025-02-06,1.0009668685615998,1.009824738187881,1.004663157147049,1.0001222786636212,1.0,0.9999999999999999,1.0,1.0,1.0
2025-02-07,1.0030488436385674,1.001083689201481,0.9955648473768703,0.9975627624928635,1.0,0.9999999999999999,1.0,1.0,1.0
2025-02-08,0.9911652121418615,1.0015123729751554,0.9984898730308961,0.9988372997728336,1.0,0.9999999999999999,1.0,1.0,1.0
2025-02-09,1.0,1.0001080910590245,1.000032422347309,1.0000757117830477,1.0,0.9999999999999999,1.0,1.0,1.0
2025-02-10,1.0,0.9999046166808776,1.0005428447431906,0.9999337543027991,1.0,0.9999999999999999,1.0,1.0,1.0
2025-02-11,1.0001657248469655,1.0069990277723246,1.0016094657434738,0.9994816553348219,1.0,0.9999999999999999,1.0,1.0,1.0
2025-02-12,1.0112317668595443,1.0007574384269686,1.0098198367735394,0.9964320974898522,1.0,0.9999999999999999,1.0,1.0,1.0
