,name,brand,categories,marketName,depotName,price,unitPrice,updateDate,marketDistance,Şehir
Leblebi,Kuruyemiş Beyaz Leblebi 200 gr Çerezya,Çerezya,"Leblebiler, Kuruyemi̇şler, Kuruyemiş",a101,Atlamataşı Fatih Istanbul,29.5,"147,50 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Kuruyemiş Sarı Leblebi 200 gr Çerezya,Çerezya,"Leblebiler, Kuruyemi̇şler, Kuruyemiş",a101,Atlamataşı Fatih Istanbul,29.5,"147,50 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Tadım Tuzlu Sarı Leblebi 180 gr,Tadım,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Leblebi, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",migros,Mjet Cağaloğlu Istanbul,51.95,"288,61 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Tadım Tuzlu Sarı Leblebi 180 gr,Tadım,"Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Kuru Gıdalar, Leblebi, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",carrefour,Istanbul Fatıh Mını,52.5,"291,67 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Master Nut Tuzlu Leblebi 160 gr,Master,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Istanbul Cıhangır Gurme,47.9,"299,38 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Master Nut Benekli Leblebi 160 gr,Master,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Istanbul Cıhangır Gurme,47.9,"299,38 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Master Nut Beyaz Leblebi 150 gr,Master,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Istanbul Cıhangır Gurme,47.9,"319,33 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Çerez Sarı Leblebi 200 gr Çerezim,Çerezim,"Kaplamalı Ürünler, Kaplamalı, Kuruyemiş Ve Cipsler",hakmar,Valide  Üsküdar,29.5,"147,50 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Sarı - beyaz Leblebi 200 Gr Simbat,Simbat,"050202-kuruyemiş, 05-kuruyemiş, 0502-kuruyemi̇ş",bim,Sinanağafatih,29.5,"147,50 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Tarım Kredi Sarı Leblebi 300 Gr,Tarım Kredi,"Gıda, Leblebi, Atıştırmalık, Kuruyemi̇ş-kurutulmuş Meyve",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,46.9,"156,33 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Çerez Şeker Leblebi 150 gr Çerezim,Çerezim,"Kaplamalı Ürünler, Kaplamalı, Kuruyemiş Ve Cipsler",hakmar,Valide  Üsküdar,19.5,"130,00 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Migros Çifte Kavrulmuş Sarı Leblebi 200 gr,Migros,"Pl Kuruyemi̇ş, Pl Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Pl Leblebi, Pl Çerez",migros,Mjet Cağaloğlu Istanbul,29.5,"147,50 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,B - 5 Çerez Leblebi Crispy 30 gr,B-5 ,"Kuru Gıdalar, Gıda, Kuruyemi̇şler, Kavrulmuş Kuruyemiş",carrefour,Istanbul Cıhangır Gurme,8.3,"276,67 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Tadım Çifte Kavrulmuş Sarı Leblebi 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Leblebi, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",migros,Mjet Cağaloğlu Istanbul,51.95,"288,61 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Tadım Çifte Kavrulmuş Sarı Leblebi 180 gr,Tadım,"Kuru Gıdalar, Kuruyemiş Tuzlu Atıştırmalık Ve Kahvaltılık, Gıda, Leblebi, Kuruyemi̇şler, Kavrulmuş Kuruyemiş, Çerez, Kuruyemi̇ş",carrefour,Istanbul Fatıh Mını,52.5,"291,67 ₺/kg",21.07.2025 10:20,0,İSTANBUL
Leblebi,Tarım Kredi Paketli Kumda Kavrulmuş Leblebi 500 Gr,Tarım Kredi,"Gıda, Leblebi, Atıştırmalık, Kuruyemi̇ş-kurutulmuş Meyve",tarim_kredi,Istanbul Beyoğlu Piyalepaşa,139.9,"279,80 ₺/kg",21.07.2025 10:20,0,İSTANBUL
